Date,AL,AR,AU,AT,BD,BY,BE,BR,BG,CA,CL,CN,CO,CR,HR,CY,CZ,DK,EG,SV,EE,EU,FI,FR,DE,GR,HK,HU,IN,ID
1956-01-01,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,
1956-02-01,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,
1956-03-01,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,
1956-04-01,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,
1956-05-01,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,
1956-06-01,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,
1956-07-01,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,
1956-08-01,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,
1956-09-01,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,
1956-11-01,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,
1956-12-01,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-02-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-03-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-04-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-05-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-06-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-07-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-08-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-09-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-11-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1957-12-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-02-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-03-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-04-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-05-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-06-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-07-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-08-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-09-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,
1958-11-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1958-12-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-02-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-03-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-04-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-05-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-06-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-07-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-08-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-09-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-11-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1959-12-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-02-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1960-03-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1960-04-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-05-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1960-06-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-07-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-08-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-09-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-10-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1960-11-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1960-12-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-02-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-03-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1961-04-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-05-01,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,
1961-06-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1961-07-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-08-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-09-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-10-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-11-01,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
1961-12-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1962-02-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1962-03-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1962-04-01,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
1962-05-01,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,
1962-06-01,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,
1962-07-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1962-08-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1962-09-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1962-10-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1962-11-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1962-12-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-02-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-03-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-04-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-05-01,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,
1963-06-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1963-07-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1963-08-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1963-09-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1963-10-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1963-11-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1963-12-01,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-02-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-03-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-04-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-05-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-06-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-07-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-08-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-09-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-10-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-11-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
1964-12-01,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,
